data,model,emsize,nhid,nlayers,lr,clip,epochs,dropout,seed,cuda,log_interval,save,summary,condition,run,ignore_speaker,epoch,train_loss,val_loss,val_acc,val_prec,val_recall,val_f,epoch_time
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,11,0.16996275815062034,0.29886168241500854,0.9454495235464715,0.9641071522551444,0.934070976952886,0.9488514230958486,22.6396164894104
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,12,0.17190922481509355,0.2993803322315216,0.9431302070272228,0.979651970867849,0.9131944444444444,0.945256551243194,22.60760998725891
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,13,0.16814216904533216,0.31232911348342896,0.944788498755875,0.9657200381477165,0.9310415283240537,0.9480637694728357,22.624242544174194
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,14,0.17141089655267885,0.30520370602607727,0.9415539126795927,0.9819111285882816,0.9079056721379597,0.9434593690119558,22.556320905685425
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,15,0.1716603140036265,0.30158278346061707,0.9452685280173011,0.9707338067570476,0.9265687583444593,0.9481372497504073,22.54456353187561
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,16,0.1698940005631019,0.32124945521354675,0.9425919275078045,0.9642894987813924,0.9283819628647215,0.945995114091169,22.551697969436646
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,17,0.16902092404854605,0.301999568939209,0.943733303650935,0.9772414173141566,0.9168174533422944,0.9460656174979996,22.514298677444458
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,18,0.17045768684683701,0.30428141355514526,0.9441577896138482,0.9716093445814407,0.9235158057054742,0.9469523282472924,22.50358247756958
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,19,0.17091553438550386,0.3030226528644562,0.9422749951222231,0.9802466380224318,0.9109624559220079,0.9443354387851096,22.529855012893677
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,20,0.16835073706431267,0.3142235577106476,0.9431350335718826,0.9646111464293282,0.929074395346464,0.9465093309767635,22.549094915390015
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,21,0.1689483364805197,0.3487812578678131,0.9421307772819919,0.9591719678798624,0.9331405671384365,0.9459772183795736,22.530049562454224
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,22,0.1676831251153579,0.3173886239528656,0.9422322858562987,0.9634604198614563,0.928596911472402,0.9457074639260873,22.517187356948853
data/seame,LSTM,500,64,2,0.1,5,40,0.2,0,True,5,results/include_speaker/0-0.pt,results/include_speaker/summary.txt,0,0,False,23,0.16741742241459015,0.30155515670776367,0.9439060856082839,0.9681630905880464,0.9267093469910371,0.9469827811796723,22.5148823261261
